month,code,country,population,totalVaccinations,vaccinationsPer100
Jan,MLT,Malta,441539,27759,6.29
Jan,MMR,Myanmar,54409794,3800,0.01
Jan,MNE,Montenegro,628062,,0.00
Jan,MNG,Mongolia,3278292,,0.00
Jan,MOZ,Mozambique,31255435,,0.00
Jan,MRT,Mauritania,4649660,,0.00
Jan,MUS,Mauritius,1271767,0,0.00
Jan,MWI,Malawi,19129955,,0.00
Jan,MYS,Malaysia,32365998,,0.00
Jan,NAM,Namibia,2540916,,0.00
Jan,NER,Niger,24206636,,0.00
Jan,NGA,Nigeria,206139587,,0.00
Jan,NIC,Nicaragua,6624554,,0.00
Jan,NLD,Netherlands,17134873,343526,2.00
Jan,NOR,Norway,5421242,129465,2.39
Jan,NPL,Nepal,29136808,0,0.00
Jan,NZL,New Zealand,4822233,,0.00
Jan,OMN,Oman,5106622,37045,0.73
Jan,PAK,Pakistan,220892331,,0.00
Jan,PAN,Panama,4314768,8772,0.20
Jan,PER,Peru,32971846,,0.00
Jan,PHL,Philippines,109581085,,0.00
Jan,PNG,Papua New Guinea,8947027,,0.00
Jan,POL,Poland,37846605,1176904,3.11
Jan,PRT,Portugal,10196707,336771,3.30
Jan,PRY,Paraguay,7132530,,0.00
Jan,PSE,Palestine,5101416,,0.00
Jan,QAT,Qatar,2881060,50000,1.74
Jan,ROU,Romania,19237682,691415,3.59
Jan,RUS,Russia,145934460,1000000,0.69
Jan,RWA,Rwanda,12952209,,0.00
Jan,SAU,Saudi Arabia,34813867,391643,1.12
Jan,SDN,Sudan,43849269,,0.00
Jan,SEN,Senegal,16743930,,0.00
Jan,SGP,Singapore,5850343,155050,2.65
Jan,SLB,Solomon Islands,686878,,0.00
Jan,SLE,Sierra Leone,7976985,,0.00
Jan,SLV,El Salvador,6486201,,0.00
Jan,SMR,San Marino,33938,,0.00
Jan,SOM,Somalia,15893219,,0.00
Jan,SRB,Serbia,6804596,437380,6.43
Jan,SSD,South Sudan,11193729,,0.00
Jan,STP,Sao Tome and Principe,219161,,0.00
Jan,SUR,Suriname,586634,,0.00
Jan,SVK,Slovakia,5459643,149215,2.73
Jan,SVN,Slovenia,2078932,81291,3.91
Jan,SWE,Sweden,10099270,324130,3.21
Jan,SWZ,Eswatini,1160164,,0.00
Jan,SYC,Seychelles,98340,30861,31.38
Jan,SYR,Syria,17500657,,0.00
Jan,TCA,Turks and Caicos Islands,38718,0,0.00
Jan,TCD,Chad,16425859,,0.00
Jan,TGO,Togo,8278737,,0.00
Jan,THA,Thailand,69799978,,0.00
Jan,TJK,Tajikistan,9537642,,0.00
Jan,TLS,Timor,1318442,,0.00
Jan,TTO,Trinidad and Tobago,1399491,,0.00
Jan,TUN,Tunisia,11818618,,0.00
Jan,TUR,Turkey,84339067,1986237,2.36
Jan,TWN,Taiwan,23816775,,0.00
Jan,TZA,Tanzania,59734213,,0.00
Jan,UGA,Uganda,45741000,,0.00
Jan,UKR,Ukraine,43733759,,0.00
Jan,URY,Uruguay,3473727,,0.00
Jan,USA,United States,331002647,31123299,9.40
Jan,UZB,Uzbekistan,33469199,,0.00
Jan,VAT,Vatican,809,,0.00
Jan,VCT,Saint Vincent and the Grenadines,110947,,0.00
Jan,VEN,Venezuela,28435943,,0.00
Jan,VNM,Vietnam,97338583,,0.00
Jan,VUT,Vanuatu,307150,,0.00
Jan,WSM,Samoa,198410,,0.00
Jan,YEM,Yemen,29825968,,0.00
Jan,ZAF,South Africa,59308690,,0.00
Jan,ZMB,Zambia,18383956,,0.00
Jan,ZWE,Zimbabwe,14862927,,0.00
Feb,MAR,Morocco,36910558,3597903,9.75
Feb,AFG,Afghanistan,38928341,8200,0.02
Feb,AGO,Angola,32866268,,0.00
Feb,AIA,Anguilla,15002,3929,26.19
Feb,ALB,Albania,2877800,10135,0.35
Feb,AND,Andorra,77265,2526,3.27
Feb,ARE,United Arab Emirates,9890400,6020461,60.87
Feb,ARG,Argentina,45195777,1025003,2.27
Feb,ARM,Armenia,2963234,,0.00
Feb,ATG,Antigua and Barbuda,97928,0,0.00
Feb,AUS,Australia,25499881,31894,0.13
Feb,AUT,Austria,9006400,688092,7.64
Feb,AZE,Azerbaijan,10139175,65000,0.64
Feb,BDI,Burundi,11890781,,0.00
Feb,BEL,Belgium,11589616,852561,7.36
Feb,BEN,Benin,12123198,,0.00
Feb,BFA,Burkina Faso,20903278,,0.00
Feb,BGD,Bangladesh,164689383,3110525,1.89
Feb,BGR,Bulgaria,6948445,212445,3.06
Feb,BHR,Bahrain,1701583,,0.00
Feb,BHS,Bahamas,393248,,0.00
Feb,BIH,Bosnia and Herzegovina,3280815,0,0.00
Feb,BLR,Belarus,9449321,20944,0.22
Feb,BLZ,Belize,397621,0,0.00
Feb,BMU,Bermuda,62273,20705,33.25
Feb,BOL,Bolivia,11673029,10167,0.09
Feb,BRA,Brazil,212559409,8433568,3.97
Feb,BRB,Barbados,287371,38615,13.44
Feb,BRN,Brunei,437483,,0.00
Feb,BTN,Bhutan,771612,,0.00
Feb,BWA,Botswana,2351625,,0.00
Feb,CAF,Central African Republic,4829764,,0.00
Feb,CAN,Canada,37742157,1887059,5.00
Feb,CHE,Switzerland,8654618,807633,9.33
Feb,CHL,Chile,19116209,3371614,17.64
Feb,CHN,China,1439323774,52520000,3.65
Feb,CIV,Cote d'Ivoire,26378275,,0.00
Feb,CMR,Cameroon,26545864,,0.00
Feb,COD,Democratic Republic of Congo,89561404,,0.00
Feb,COG,Congo,5518092,,0.00
Feb,COL,Colombia,50882884,130578,0.26
Feb,COM,Comoros,869595,,0.00
Feb,CPV,Cape Verde,555988,,0.00
Feb,CRI,Costa Rica,5094114,101183,1.99
Feb,CUB,Cuba,11326616,,0.00
Feb,CYM,Cayman Islands,65720,21106,32.12
Feb,CYP,Cyprus,875899,76176,8.70
Feb,CZE,Czechia,10708982,663029,6.19
