month,code,country,population,totalVaccinations,vaccinationsPer100
Mar,TTO,Trinidad and Tobago,1399491,,0.00
Mar,TUN,Tunisia,11818618,53089,0.45
Mar,TUR,Turkey,84339067,15834787,18.78
Mar,TWN,Taiwan,23816775,14400,0.06
Mar,TZA,Tanzania,59734213,,0.00
Mar,UGA,Uganda,45741000,90196,0.20
Mar,UKR,Ukraine,43733759,248736,0.57
Mar,URY,Uruguay,3473727,672971,19.37
Mar,USA,United States,331002647,150273292,45.40
Mar,UZB,Uzbekistan,33469199,0,0.00
Mar,VAT,Vatican,809,,0.00
Mar,VCT,Saint Vincent and the Grenadines,110947,10519,9.48
Mar,VEN,Venezuela,28435943,14223,0.05
Mar,VNM,Vietnam,97338583,49743,0.05
Mar,VUT,Vanuatu,307150,,0.00
Mar,WSM,Samoa,198410,,0.00
Mar,YEM,Yemen,29825968,,0.00
Mar,ZAF,South Africa,59308690,263878,0.44
Mar,ZMB,Zambia,18383956,,0.00
Mar,ZWE,Zimbabwe,14862927,91880,0.62
Apr,MAR,Morocco,36910558,8650872,23.44
Apr,AFG,Afghanistan,38928341,120000,0.31
Apr,AGO,Angola,32866268,245442,0.75
Apr,AIA,Anguilla,15002,5835,38.89
Apr,ALB,Albania,2877800,281216,9.77
Apr,AND,Andorra,77265,17091,22.12
Apr,ARE,United Arab Emirates,9890400,9156728,92.58
Apr,ARG,Argentina,45195777,5571878,12.33
Apr,ARM,Armenia,2963234,,0.00
Apr,ATG,Antigua and Barbuda,97928,27032,27.60
Apr,AUS,Australia,25499881,1234681,4.84
Apr,AUT,Austria,9006400,2197468,24.40
Apr,AZE,Azerbaijan,10139175,1177187,11.61
Apr,BDI,Burundi,11890781,,0.00
Apr,BEL,Belgium,11589616,2557404,22.07
Apr,BEN,Benin,12123198,,0.00
Apr,BFA,Burkina Faso,20903278,,0.00
Apr,BGD,Bangladesh,164689383,6172159,3.75
Apr,BGR,Bulgaria,6948445,590495,8.50
Apr,BHR,Bahrain,1701583,989363,58.14
Apr,BHS,Bahamas,393248,10000,2.54
Apr,BIH,Bosnia and Herzegovina,3280815,15000,0.46
Apr,BLR,Belarus,9449321,,0.00
Apr,BLZ,Belize,397621,29939,7.53
Apr,BMU,Bermuda,62273,45761,73.48
Apr,BOL,Bolivia,11673029,465896,3.99
Apr,BRA,Brazil,212559409,30801723,14.49
Apr,BRB,Barbados,287371,65873,22.92
Apr,BRN,Brunei,437483,2323,0.53
Apr,BTN,Bhutan,771612,476740,61.78
Apr,BWA,Botswana,2351625,31628,1.34
Apr,CAF,Central African Republic,4829764,,0.00
Apr,CAN,Canada,37742157,8601331,22.79
Apr,CHE,Switzerland,8654618,1807703,20.89
Apr,CHL,Chile,19116209,12259848,64.13
Apr,CHN,China,1439323774,175623000,12.20
Apr,CIV,Cote d'Ivoire,26378275,68843,0.26
Apr,CMR,Cameroon,26545864,,0.00
Apr,COD,Democratic Republic of Congo,89561404,,0.00
Apr,COG,Congo,5518092,,0.00
Apr,COL,Colombia,50882884,3173583,6.24
Apr,COM,Comoros,869595,,0.00
Apr,CPV,Cape Verde,555988,,0.00
Apr,CRI,Costa Rica,5094114,586799,11.52
Apr,CUB,Cuba,11326616,,0.00
